"","time.shift","wake","N","w.smooth"
"78573",63.3022222222222,1,18,3.6
"78574",63.3033333333333,1,18,3.6
"78575",63.3044444444444,1,18,3.6
"78576",63.3055555555556,1,18,3.6
"78577",63.3066666666667,1,18,3.6
"78578",63.3077777777778,1,18,3.6
"78579",63.3088888888889,1,18,3.6
"78580",63.31,1,18,3.6
"78581",63.3111111111111,1,18,3.6
"78582",63.3122222222222,1,18,3.6
"78583",63.3133333333333,1,18,3.6
"78584",63.3144444444444,1,18,3.6
"78585",63.3155555555556,1,18,3.6
"78586",63.3166666666667,1,18,3.6
"78587",63.3177777777778,1,18,3.6
"78588",63.3188888888889,1,18,3.6
"78589",63.32,1,18,3.6
"78590",63.3211111111111,1,18,3.6
"78591",63.3222222222222,1,18,3.6
"78592",63.3233333333333,1,18,3.6
"78593",63.3244444444444,1,18,3.6
"78594",63.3255555555556,1,18,3.6
"78595",63.3266666666667,1,18,3.6
"78596",63.3277777777778,1,18,3.6
"78597",63.3288888888889,0,18,3.53333333333334
"78598",63.33,0,18,3.46666666666667
"78599",63.3311111111111,0,18,3.4
"78600",63.3322222222222,1,18,3.4
"78601",63.3333333333333,1,18,3.4
"78602",63.3344444444444,0,18,3.33333333333334
"78603",63.3355555555556,0,18,3.26666666666667
"78604",63.3366666666667,0,18,3.2
"78605",63.3377777777778,0,18,3.13333333333334
"78606",63.3388888888889,1,18,3.13333333333334
"78607",63.34,1,18,3.13333333333334
"78608",63.3411111111111,0,18,3.13333333333334
"78609",63.3422222222222,0,18,3.13333333333334
"78610",63.3433333333333,0,18,3.13333333333334
"78611",63.3444444444444,0,18,3.13333333333334
"78612",63.3455555555555,0,18,3.13333333333334
"78613",63.3466666666667,0,18,3.13333333333334
"78614",63.3477777777778,0,18,3.13333333333334
"78615",63.3488888888889,1,18,3.13333333333334
"78616",63.35,1,18,3.13333333333334
"78617",63.3511111111111,1,18,3.2
"78618",63.3522222222222,1,18,3.2
"78619",63.3533333333333,1,18,3.26666666666667
"78620",63.3544444444444,0,18,3.26666666666667
"78621",63.3555555555556,0,18,3.26666666666667
"78622",63.3566666666667,0,18,3.26666666666667
"78623",63.3577777777778,0,18,3.26666666666667
"78624",63.3588888888889,0,18,3.26666666666667
"78625",63.36,0,18,3.26666666666667
"78626",63.3611111111111,0,18,3.26666666666667
"78627",63.3622222222222,0,18,3.26666666666667
"78628",63.3633333333333,0,18,3.2
"78629",63.3644444444444,0,18,3.13333333333334
"78630",63.3655555555556,0,18,3.06666666666667
"78631",63.3666666666667,0,18,3
"78632",63.3677777777778,0,18,2.93333333333334
"78633",63.3688888888889,0,18,2.93333333333334
"78634",63.37,0,18,2.93333333333334
"78635",63.3711111111111,0,18,2.93333333333334
"78636",63.3722222222222,1,18,3
"78637",63.3733333333333,1,18,3
"78638",63.3744444444444,1,18,3
"78639",63.3755555555556,1,18,3
"78640",63.3766666666667,1,18,3
"78641",63.3777777777778,1,18,3
"78642",63.3788888888889,1,18,3
"78643",63.38,1,18,3
"78644",63.3811111111111,1,18,3
"78645",63.3822222222222,1,18,3
"78646",63.3833333333333,1,18,3
"78647",63.3844444444444,0,18,2.93333333333334
"78648",63.3855555555556,0,18,2.86666666666667
"78649",63.3866666666667,1,18,2.86666666666667
"78650",63.3877777777778,1,18,2.86666666666667
"78651",63.3888888888889,1,18,2.86666666666667
"78652",63.39,1,18,2.86666666666667
"78653",63.3911111111111,1,18,2.86666666666667
"78654",63.3922222222222,1,18,2.86666666666667
"78655",63.3933333333333,1,18,2.86666666666667
"78656",63.3944444444444,0,18,2.8
"78657",63.3955555555556,1,18,2.8
"78658",63.3966666666667,1,18,2.8
"78659",63.3977777777778,0,18,2.73333333333334
"78660",63.3988888888889,0,18,2.66666666666667
"78661",63.4,0,18,2.6
"78662",63.4011111111111,0,18,2.53333333333333
"78663",63.4022222222222,0,18,2.46666666666667
"78664",63.4033333333333,1,18,2.46666666666667
"78665",63.4044444444445,1,18,2.46666666666667
